profile_name,fold_id,date,day_rank_ic,candidate_count,prediction_mean,prediction_std,target_mean,target_std,avg_volatility_20d,avg_volatility_5d,avg_turnover_rate,avg_turnover_ratio_10d,avg_amplitude_ratio_5d,selected_count,selected_pred_return_mean,selected_target_return_mean,selected_weighted_target_return,selected_volatility_20d_mean,selected_volatility_5d_mean,selected_turnover_rate_mean,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_after_secondary_screen,filter_fallback_used,sequence_length,risk_penalty_weight,sort_strategy,primary_candidate_size
sl10__risk_adjusted__cs150__rp-30,1,2025-11-26,-0.1298822832090458,300,0.48327414136666663,0.029513693907236654,0.00871248038623854,0.031059058737763434,0.01911507154056696,0.018701012800123654,1.1424560000000001,-0.09702693589271977,-0.12757548712361397,5,0.5318893,0.0005542415727891201,0.0007199134808204574,0.01393105249372184,0.020378980754070804,0.7427,300,150,124,124,0,10,-0.3,risk_adjusted,150
sl10__risk_adjusted__cs150__rp-30,1,2025-11-27,-0.12826793246163845,300,0.4935705449333333,0.027357823655534685,0.006520541589028746,0.035966486693302074,0.018761714780250502,0.0187267133033879,1.0946293333333335,-0.10221509459272082,-0.10279976250371897,5,0.53595246,-0.0111552896065313,-0.010815896727145634,0.013613791193952982,0.013267904571574701,0.8403,300,150,123,123,0,10,-0.3,risk_adjusted,150
sl10__risk_adjusted__cs150__rp-30,1,2025-11-28,-0.05817078607252913,300,0.4907940494333333,0.029309244764972153,-0.0024013733862022447,0.033944920706592704,0.018009944409587524,0.013327795217730948,0.956631,-0.16405738453017676,-0.1222449036174351,5,0.5417692759999999,-0.0025673287932220998,-0.0029649802246082086,0.01710871856469844,0.0098281414719382,1.4691199999999998,300,150,123,123,0,10,-0.3,risk_adjusted,150
sl10__risk_adjusted__cs150__rp-30,1,2025-12-01,-0.04911726698884907,300,0.4956315290666667,0.029639397132933395,0.00038376468407220283,0.038252830783501904,0.01834038186217192,0.013839782209492899,1.3700813333333335,0.16998198524121147,0.12580044530885143,5,0.544620628,-0.0148036692777618,-0.014736094445327511,0.02250458236652936,0.010570975761408242,1.51772,300,150,122,122,0,10,-0.3,risk_adjusted,150
sl10__risk_adjusted__cs150__rp-30,1,2025-12-02,0.021618306227185004,300,0.4930756920666666,0.031087328158824205,0.005661202111109214,0.03992151511444516,0.018100374163062437,0.014492318122117277,1.0516143333333332,-0.11185102750213266,-0.06256847749070583,5,0.540686192,0.003283431173826979,0.0034847761606147045,0.02510326274281046,0.012753077271197061,1.29032,300,150,118,118,0,10,-0.3,risk_adjusted,150
sl10__risk_adjusted__cs150__rp-30,1,2025-12-03,0.10973689678436177,300,0.5018951625,0.032744466921604494,0.0013027612796860308,0.04338956684538926,0.018080796727540205,0.0145874845342174,1.0333456666666665,-0.09348647969508539,0.058180799332410625,5,0.5562339599999999,0.024040823569413818,0.023925465998336844,0.02668696569254378,0.02026407607318572,1.55824,300,150,122,122,0,10,-0.3,risk_adjusted,150
sl10__risk_adjusted__cs150__rp-30,1,2025-12-04,-0.007516760208576124,300,0.5002700640666666,0.031498135618681804,0.00828145668724565,0.034708132070079,0.017528733269125296,0.01459138847816717,0.9536159999999999,-0.15933976437850308,-0.04315944584139579,5,0.544055964,0.006486311798455662,0.006111714268650294,0.020366797131140618,0.01975535935814414,1.10826,300,150,117,117,0,10,-0.3,risk_adjusted,150
sl10__risk_adjusted__cs150__rp-30,1,2025-12-05,0.049302791943378436,300,0.4953406336666667,0.027972161723065853,-0.010352760226929434,0.030426012903726467,0.017632443961958996,0.015720058461574312,1.136266,0.05930147019919658,0.10098138877690864,5,0.5382970779999999,-0.014250825357382018,-0.014311182547963371,0.01869213962131778,0.01622860424904552,0.6872999999999999,300,150,125,125,0,10,-0.3,risk_adjusted,150
sl10__risk_adjusted__cs150__rp-30,1,2025-12-08,0.18478275846027928,300,0.4951374296333334,0.025412499589263275,-0.010410610970843498,0.030725295697685166,0.017131356302736607,0.014569927823218662,1.3106679999999997,0.18464006400761648,0.014389834697719817,5,0.535284398,-0.01549951605213464,-0.015259117783460263,0.02107959255053856,0.019318429514776258,2.5573599999999996,300,150,121,121,0,10,-0.3,risk_adjusted,150
sl10__risk_adjusted__cs150__rp-30,1,2025-12-09,0.2356683050191505,300,0.49013423809999995,0.02616585869150509,-0.003435043734788855,0.03266527133140459,0.017293466318454756,0.015384440718267918,1.2065886666666665,0.08159133576899794,0.04719848155822513,5,0.5327641379999999,0.02059579947996126,0.020634178814437534,0.01699923953350898,0.01739683102611672,1.15368,300,150,135,135,0,10,-0.3,risk_adjusted,150
